ID,faithfulness,unobsVars,exRest_presence ,exRest_absence,customIndepTest,exRest_dir,scoreBased,constraintBased,linearity,nongausErrors,estBased,missingInfo,numData,catData,returnDAG,parallelComp,implemented
1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
2,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
3,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
4,0,0,0,1,NA,0,1,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,NA,NA,NA,NA,1,1,1,0,1,0,1,0,0
6,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
7,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
8,0,0,1,0,NA,1,1,0,0,0,0,0,0,1,1,0,0
9,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0
10,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0
11,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
12,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
13,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
14,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
15,0,0,1,1,NA,1,1,0,0,0,0,0,1,1,1,1,0
16,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1
17,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
18,0,0,1,1,NA,1,1,0,0,0,0,0,1,1,1,1,0
19,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0
20,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0
21,0,0,1,1,NA,1,1,0,0,0,0,1,0,1,1,1,0
22,0,0,0,1,NA,0,1,0,0,0,1,0,1,0,0,1,0
23,0,0,0,1,NA,0,1,0,0,0,1,0,1,1,1,0,0
24,0,0,0,1,NA,0,1,0,0,0,1,0,1,1,1,0,0
